Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1821,4,10,,,,1,0,,0,Costa Rica,13,LA MATINA,10.1,-83.3,,1,,,,,,,,,,
1821,5,,,,,2,1,,0,United Kingdom Territory,4,ST HELENA,-15.95,-5.7,,1,,,3,,,,,1,,
1821,9,3,,,,1,9,,0,United States of America,283,"ASSATEAGUE ISLAND, VA",38.083,-75.208,,2,,,,,,,,,,
1821,,,,,,-1,0,,0,Indonesia,228,FLORES SEA: BIMA,-8.456,118.723,,0,,,,,,,,,,
1822,3,20,,,,1,1,,0,Lebanon,1,BEIRUT,,,,0,,,,,,,,,,
1822,4,10,,,,1,1,,0,Italy,91,CALABRIAN ARC,37.45,14.25,,0,,,,,,,,,,
1822,5,7,,,,3,1,7.6,0,Costa Rica,13,MATINA,10.1,-83.3,,3,,,,,,,,2,,
1822,8,13,20,,,2,1,7.1,0,Turkey,25,ANTIOCHIA,36,36,,3,,3,8000,,,,,4,,
1822,11,20,2,30,,4,1,8.5,0,Chile,151,CENTRAL CHILE,-33,-72,3.6,6,1.8,2,72,,,200,,4,,
1823,3,5,17,37,,2,1,,0,Italy,91,PALERMO,38.3,14.8,,2,,5,,,,,,,,
1823,5,30,,,,0,1,,0,United States of America,283,LAKE ERIE,42.7,-79,2.74,1,,,,,,,,,,
1823,8,20,,,,2,1,,0,Croatia,12,DUBROVNIK,,,,2,,4,,,,,,,,
1823,9,9,,,,2,1,6.8,0,Indonesia,228,JAVA,-6.5,108.5,0.3,1,,-1.5,,,,,,,,
1823,10,,,,,-1,1,,0,Croatia,12,ADRIATIC SEA,,,,2,,,,,,,,,,
1823,11,30,,,,4,1,,0,Martinique (French Territory),9,SAINT PIERRE,14.4,-61,,1,,,,,,,,,,
1824,9,13,,,,-1,9,,0,Guadeloupe (French Territory),8,BASSE TERRE,16.7,-62.2,,1,,,,,,,,,,
1824,10,26,,,,1,1,,0,Philippines,79,W. LUZON ISLAND,14.25,121.25,,1,,1,,,,,,2,,
1824,11,30,,,,2,1,,0,Martinique (French Territory),9,SAINT PIERRE,14.4,-61,,1,,,,,,,,,,
1825,1,3,,,,1,0,,0,Denmark,1,DENMARK,,,,0,,,,,,,,,,
1825,1,19,11,45,,1,1,6.8,0,Greece,113,IONIAN SEA,38.8,20.7,,1,,3,58,,,,,3,,
1825,2,26,,,,1,1,6.3,0,Colombia,8,SANTA MARTA,11.1,-74.1,,1,,,,,,,,,,
1825,3,21,,,,-1,6,,0,United States of America,283,"UNIMAK ISLAND, AK",54.77,-164.18,,1,,0.5,,,,,,,,
1825,4,,,,,2,1,,0,United States of America,283,"GUAM, MARIANA ISLANDS",14,143.3,,1,,,,,,,,2,,
1825,9,21,1,45,,2,1,,0,Trinidad And Tobago,3,PORT-OF-SPAIN,10.4,-61.3,,1,,,,,,,,,,
1826,1,,,,,3,1,,0,Japan,225,CHICHI JIMA,27.07,142.21,,1,,,,,,,,1,,
1826,3,18,0,20,,2,1,,0,Italy,91,SENIGALLIA,43.8,13,,1,,3,,,,,,,,
1826,10,22,,,,-1,6,,0,United States of America,283,"UNIMAK ISLAND, AK",55,-165,,1,,,,,,,,,,
1826,,,,,,3,1,,1,New Zealand,86,DUSKY SOUND,-45.78,166.48,,1,,,,,,,,,,
1827,1,18,,,,1,9,,0,United States of America,283,N. CALIFORNIA,,,,1,,,,,,,,,,
1827,8,8,,,,-1,4,,0,United States of America,283,"ALASKA PENINSULA, AK",,,,1,,,,,,,,,,
1827,8,9,,,,3,4,,1,Russia,90,KAMCHATKA,53,158.5,,2,,1.5,,,,,,1,,
1827,11,16,22,45,,-1,1,7,0,Ecuador,6,ECUADOR,-1.8,-76.4,,2,,,,,,,,,,
1827,,,,,,-1,6,,0,United States of America,283,"E. ALEUTIAN ISLANDS, AK",,,,0,,,,,,,,,,
1828,3,30,12,35,0,-1,1,8.3,0,Peru,53,CENTRAL PERU,,,,0,,,,,,,,,,
1828,5,26,,,,4,1,6.4,0,Japan,225,AMAKUnited States of America SEA,32.6,129.9,,2,,,,,,,,,,
1828,10,9,13,11,,2,1,,0,Italy,91,GENOA,44.8,9.2,,1,,3,,,,,,,,
1828,11,9,10,30,,1,1,7.5,0,Philippines,79,W. LUZON ISLAND,14.55,120.9,,1,,0.5,,,,,,1,,
1828,12,18,,,,-1,1,6.9,0,Japan,225,NW. HONSHU ISLAND,,,,0,,,1443,,,,,4,11750,
1828,12,29,,,,-1,1,,0,Indonesia,228,FLORES SEA,,,,0,,,,,,,,,,
1829,5,23,,,,2,1,7.3,0,Turkey,25,CONSTANTINOPLE,41.1,24.3,,1,,2,,,,,,,,
1829,9,26,,,,-1,1,,0,Chile,151,SC. CHILE,,,,0,,,,,,,,1,,
1830,1,10,,,,1,0,,0,Holland,1,HOLLAND,,,,0,,,,,,,,,,
1830,1,18,9,15,,0,1,,0,Philippines,79,W. LUZON ISLAND,14.55,120.9,1,1,,,,,,,,2,,
1830,9,16,,,,0,1,,0,Philippines,79,W. LUZON ISLAND,14.55,120.9,,1,,1,,,,,,,,
1831,5,26,11,30,,2,1,,0,Italy,91,SAN REMO,43.8,7.8,,1,,3,,,,,,,,
1831,7,2,,,,2,1,,0,Italy,91,SCIACCA,37.05,12.3,,1,,1,,,,,,,,
1831,12,3,23,40,,1,1,,0,Trinidad And Tobago,3,TRINIDAD & ST. CHRISTOPHER,12.4,-61.5,,2,,,,,,,,,,
1831,,,,,,3,1,,0,New Zealand,86,"POVERTY BAY, NORTH ISLAND",-38.7,178,,0,,,,,,,,,,
1832,3,8,1,15,,2,1,,0,Italy,91,CUTRO,39,17,,1,,3,234,,,,,,,
1833,1,19,,,,2,1,6.4,0,Albania,10,ALBANIA,40.4,19.9,,2,,4,,,,,,2,,
1833,3,10,,,,3,1,,0,Mexico,59,S. MEXICO,16.8,-99.9,,1,1,0.5,,,,,,,,
1833,9,6,,,,0,1,8,0,China,23,YUNNAN PROVINCE,25.2,103,,1,,,6700,,,,,4,87620,
1833,9,18,10,45,,1,1,7.7,0,Peru,53,S. PERU,-18.251,-71.01,9,1,,,700,,,25,,3,1001,
1833,11,24,,,,4,1,8.3,0,Indonesia,228,SW. SUMATRA,-2.5,100.5,,6,,2.5,,,,,,2,,
1833,12,7,,,,4,1,7.4,1,Japan,225,NW. HONSHU ISLAND,38.9,139.15,9,27,2.5,2.5,85,,,,,3,1140,1790
1834,2,9,1,,,4,1,6.4,0,Japan,225,W. HOKKAIDO ISLAND,43.3,141.4,,1,2,1,,,,,,1,73,
1834,3,14,,,,1,1,7,0,Mexico,59,S. MEXICO,16.8,-99.9,,1,1,0,,,,,,1,,
1835,2,20,16,22,,4,1,8.2,1,Chile,151,CENTRAL CHILE,-36.83,-73.03,24,22,4,3,53,30,1,500,,4,,
1835,7,12,,,,2,0,,0,Greece,113,IONIAN ISLANDS,,,,1,,2,,,,,,,,
1835,7,20,,,,4,1,7.6,0,Japan,225,SANRIKU,37.9,141.9,5,4,2.3,2,,,,,,3,,
1835,8,19,,,,-1,1,,0,Japan,225,"MIYAGI, JAPAN",,,,2,2,2,,,,,,,,
1836,1,21,,,,1,0,,0,Australia,21,TASMANIA,-43.3,148.9,,0,,,,,,,,,,
1836,3,5,,,,2,1,,0,Indonesia,228,FLORES SEA,-8.3,118.7,,1,,0.5,,,,,,,,
1836,4,24,16,15,,3,1,,0,Italy,91,ROSSANO,39.6,16.6,,3,,4,589,,,,,,,
1836,7,3,,,,2,1,7.5,0,Chile,151,NORTHERN CHILE,-22.6,-70.3,,2,1,1,,,,,,,,
1836,9,5,,,,-1,1,5.9,0,Japan,225,SANRIKU,37.7,142,,1,1,1,,,,,,,,
1836,11,28,,,,2,1,7.5,0,Indonesia,228,FLORES SEA,-8.3,118.7,,1,,0.5,,,,,,1,,
